production_source	state	panels	evidence_types
server/packages/happy-app/sources/-session/SessionView.tsx	screenshot	chat/session	component-fixture
server/packages/happy-app/sources/app/(app)/_layout.tsx	screenshot	production/landing	production-export
server/packages/happy-app/sources/app/(app)/artifacts/[id].tsx	screenshot	routes/artifact	component-fixture
server/packages/happy-app/sources/app/(app)/artifacts/edit/[id].tsx	screenshot	routes/artifact-edit	component-fixture
server/packages/happy-app/sources/app/(app)/artifacts/index.tsx	screenshot	routes/artifacts	component-fixture
server/packages/happy-app/sources/app/(app)/artifacts/new.tsx	screenshot	routes/artifact-new	component-fixture
server/packages/happy-app/sources/app/(app)/automations/index.tsx	screenshot	workspace/automations-list; workspace/automation-create	component-fixture
server/packages/happy-app/sources/app/(app)/friends/index.tsx	screenshot	routes/friends	component-fixture
server/packages/happy-app/sources/app/(app)/friends/search.tsx	screenshot	routes/friend-search	component-fixture
server/packages/happy-app/sources/app/(app)/inbox/index.tsx	screenshot	routes/inbox	component-fixture
server/packages/happy-app/sources/app/(app)/index.tsx	screenshot	production/landing; workspace/signed-out	component-fixture; production-export
server/packages/happy-app/sources/app/(app)/machine/[id].tsx	screenshot	routes/machine	component-fixture
server/packages/happy-app/sources/app/(app)/new/index.tsx	screenshot	workspace/new-session; workspace/new-session-path	component-fixture
server/packages/happy-app/sources/app/(app)/restore/index.tsx	screenshot	production/restore-device	production-export
server/packages/happy-app/sources/app/(app)/restore/manual.tsx	screenshot	production/restore-key	production-export
server/packages/happy-app/sources/app/(app)/server.tsx	screenshot	production/server-config	production-export
server/packages/happy-app/sources/app/(app)/session/[id]/info.tsx	screenshot	routes/session-info	component-fixture
server/packages/happy-app/sources/app/(app)/session/recent.tsx	screenshot	routes/recent	component-fixture
server/packages/happy-app/sources/app/(app)/settings/account.tsx	screenshot	routes/account	component-fixture
server/packages/happy-app/sources/app/(app)/settings/agents.tsx	screenshot	routes/agents	component-fixture
server/packages/happy-app/sources/app/(app)/settings/appearance.tsx	screenshot	routes/appearance	component-fixture
server/packages/happy-app/sources/app/(app)/settings/connect/claude.tsx	screenshot	routes/claude	component-fixture
server/packages/happy-app/sources/app/(app)/settings/features.tsx	screenshot	routes/features	component-fixture
server/packages/happy-app/sources/app/(app)/settings/language.tsx	screenshot	routes/language	component-fixture
server/packages/happy-app/sources/app/(app)/settings/voice.tsx	screenshot	routes/voice	component-fixture
server/packages/happy-app/sources/app/(app)/settings/voice/language.tsx	screenshot	routes/voice-language	component-fixture
server/packages/happy-app/sources/app/(app)/terminal/connect.tsx	screenshot	routes/terminal	component-fixture
server/packages/happy-app/sources/app/(app)/text-selection.tsx	screenshot	routes/text-selection	component-fixture
server/packages/happy-app/sources/app/(app)/user/[id].tsx	screenshot	routes/user	component-fixture
server/packages/happy-app/sources/app/+html.tsx	screenshot	production/landing	production-export
server/packages/happy-app/sources/app/_layout.tsx	screenshot	production/landing	production-export
server/packages/happy-app/sources/components/AccountKeyPanel.tsx	screenshot	routes/account-key	component-fixture
server/packages/happy-app/sources/components/ActiveSessionsGroupCompact.tsx	screenshot	workspace/session-workspace-groups	component-fixture
server/packages/happy-app/sources/components/AgentGoalBar.tsx	screenshot	chat/goal-work-queue	component-fixture
server/packages/happy-app/sources/components/AgentInput.tsx	screenshot	chat/session; chat/composer	component-fixture
server/packages/happy-app/sources/components/AgentQuestionModal.tsx	screenshot	chat/question	component-fixture
server/packages/happy-app/sources/components/AgentWorkGroupHeader.tsx	screenshot	chat/goal-work-queue	component-fixture
server/packages/happy-app/sources/components/AttachmentInputMenu.tsx	screenshot	chat/attachment-menu	component-fixture
server/packages/happy-app/sources/components/ChatList.tsx	screenshot	chat/chat-list; chat/session	component-fixture
server/packages/happy-app/sources/components/CodeEditor.tsx	screenshot	chat/native-editor	component-fixture
server/packages/happy-app/sources/components/CodeEditor.web.tsx	screenshot	workspace/code-editor	component-fixture
