path	inventory_origin	head_presence	surface_kind	disposition	implementation	rationale_and_owner	verification
server/packages/happyherd-app/app.config.js	issue-baseline	present	packaging-config	keep	direct-edit	Preserve build/platform/runtime contracts; allow font/asset integration only, no product or filesystem rename.	source-only; build-unproved
server/packages/happyherd-app/babel.config.js	issue-baseline	present	packaging-config	keep	retained-source	Preserve build/platform/runtime contracts; allow font/asset integration only, no product or filesystem rename.	source-only; build-unproved
server/packages/happyherd-app/eas.json	issue-baseline	present	packaging-config	keep	retained-source	Preserve build/platform/runtime contracts; allow font/asset integration only, no product or filesystem rename.	source-only; build-unproved
server/packages/happyherd-app/index.ts	issue-baseline	present	packaging-config	keep	retained-source	Preserve build/platform/runtime contracts; allow font/asset integration only, no product or filesystem rename.	source-only; build-unproved
server/packages/happyherd-app/metro.config.js	issue-baseline	present	packaging-config	adapt	direct-edit	Exclude route-root test/spec modules from Metro production contexts; preserve production routes, platform resolution and existing default/Tauri exclusions.	ios/android/web-export-passed; installed-native-host-unproved
server/packages/happyherd-app/package.json	issue-baseline	present	packaging-config	keep	retained-source	Preserve build/platform/runtime contracts; allow font/asset integration only, no product or filesystem rename.	source-only; build-unproved
server/packages/happyherd-app/public/favicon-active.ico	issue-baseline	present	asset	keep	retained-source	Retain approved HappyHerd/Hervald product mark and packaging density/format contract; inspect appearance on shipped host; no product renaming. References: sources/utils/web/faviconGenerator.ts.	usage-reviewed; rendered-unproved
server/packages/happyherd-app/sources/-session/SessionView.tsx	issue-baseline	present	component	adapt	direct-edit	Direct visual adaptation; preserve handlers, state ownership, protocol values and localized copy.	source-only; rendered-unproved
server/packages/happyherd-app/sources/-session/workspaceLinkNavigation.ts	issue-baseline	present	context	keep	retained-source	Preserve runtime/configuration contract; visual adaptation belongs to consuming theme/control.	context-only
server/packages/happyherd-app/sources/app/(app)/_layout.tsx	issue-baseline	present	route	adapt	direct-edit	Direct visual adaptation; preserve handlers, state ownership, protocol values and localized copy.	source-only; rendered-unproved
server/packages/happyherd-app/sources/app/(app)/artifacts/[id].tsx	issue-baseline	present	route	adapt	direct-edit	Direct visual adaptation; preserve handlers, state ownership, protocol values and localized copy.	source-only; rendered-unproved
server/packages/happyherd-app/sources/app/(app)/artifacts/edit/[id].tsx	issue-baseline	present	route	adapt	direct-edit	Direct visual adaptation; preserve handlers, state ownership, protocol values and localized copy.	source-only; rendered-unproved
server/packages/happyherd-app/sources/app/(app)/artifacts/index.tsx	issue-baseline	present	route	adapt	direct-edit	Direct visual adaptation; preserve handlers, state ownership, protocol values and localized copy.	source-only; rendered-unproved
server/packages/happyherd-app/sources/app/(app)/artifacts/new.tsx	issue-baseline	present	route	adapt	direct-edit	Direct visual adaptation; preserve handlers, state ownership, protocol values and localized copy.	source-only; rendered-unproved
server/packages/happyherd-app/sources/app/(app)/automations/index.tsx	issue-baseline	present	route	adapt	direct-edit	Direct visual adaptation; preserve handlers, state ownership, protocol values and localized copy.	source-only; rendered-unproved
